schema-version, 2
type, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, bundleName, size, minSize, gzipSize, brSize
module, tests.lint-test.js, test-helper.lint-test.js, 132, 105, 109, 91, 1, 109, 91
module, app.lint-test.js, app.lint-test.js, 116, 89, 42, 35, 0.3145, 104, 93
module, app.lint-test.js, resolver.lint-test.js, 126, 99, 46, 39, 0.3498, 109, 89
module, app.lint-test.js, router.lint-test.js, 122, 95, 44, 38, 0.3357, 107, 85
module, templates.template.lint-test.js, example-app/templates/application.template.lint-test.js, 185, 158, 131, 100, 1, 131, 100
module, tests.js, vendor/ember-cli/tests-prefix.js, 14, 13, 5, 4, 0.0086, 33, 17
module, tests.js, example-app/tests/lint/app.lint-test.js, 508, 389, 149, 124, 0.2583, 190, 169
module, tests.js, example-app/tests/lint/templates.template.lint-test.js, 326, 279, 107, 89, 0.1853, 182, 152
module, tests.js, example-app/tests/lint/tests.lint-test.js, 262, 215, 82, 68, 0.1428, 173, 152
module, tests.js, example-app/tests/test-helper.js, 323, 231, 88, 73, 0.1534, 174, 142
module, tests.js, vendor/ember-cli/app-config.js, 535, 360, 138, 115, 0.239, 275, 193
module, tests.js, vendor/ember-cli/tests-suffix.js, 77, 71, 27, 23, 0.0471, 87, 75
module, example-app.js, vendor/ember-cli/app-prefix.js, 16, 13, 3, 3, 0.0018, 33, 17
module, example-app.js, example-app/adapters/-json-api.js, 345, 247, 56, 49, 0.0346, 185, 155
module, example-app.js, example-app/app.js, 965, 584, 133, 115, 0.0818, 327, 262
module, example-app.js, example-app/components/welcome-page.js, 372, 266, 60, 52, 0.0373, 185, 142
module, example-app.js, example-app/helpers/app-version.js, 1142, 527, 120, 104, 0.0738, 339, 288
module, example-app.js, example-app/helpers/pluralize.js, 317, 216, 49, 42, 0.0303, 177, 147
module, example-app.js, example-app/helpers/singularize.js, 325, 220, 50, 43, 0.0308, 179, 149
module, example-app.js, example-app/initializers/app-version.js, 612, 374, 85, 73, 0.0524, 252, 202
module, example-app.js, example-app/initializers/container-debug-adapter.js, 631, 449, 102, 88, 0.0629, 267, 202
module, example-app.js, example-app/initializers/ember-data.js, 594, 257, 58, 50, 0.036, 195, 149
module, example-app.js, example-app/initializers/export-application-global.js, 1434, 720, 164, 141, 0.1009, 405, 316
module, example-app.js, example-app/instance-initializers/ember-data.js, 402, 260, 59, 51, 0.0364, 196, 149
module, example-app.js, example-app/resolver.js, 293, 184, 42, 36, 0.0258, 160, 126
module, example-app.js, example-app/router.js, 753, 462, 105, 91, 0.0647, 296, 239
module, example-app.js, example-app/serializers/-default.js, 340, 248, 56, 49, 0.0347, 185, 155
module, example-app.js, example-app/serializers/-json-api.js, 351, 253, 57, 50, 0.0354, 187, 163
module, example-app.js, example-app/serializers/-rest.js, 337, 245, 56, 48, 0.0343, 185, 157
module, example-app.js, example-app/templates/application.js, 534, 395, 90, 78, 0.0553, 288, 226
module, example-app.js, example-app/transforms/boolean.js, 357, 259, 59, 51, 0.0363, 203, 165
module, example-app.js, example-app/transforms/date.js, 351, 253, 57, 50, 0.0354, 199, 161
module, example-app.js, example-app/transforms/number.js, 355, 257, 58, 50, 0.036, 201, 159
module, example-app.js, example-app/transforms/string.js, 355, 257, 58, 50, 0.036, 201, 156
module, example-app.js, vendor/ember-cli/app-suffix.js, 1, 0, 0, 0, 0, 20, 1
module, example-app.js, vendor/ember-cli/app-config.js, 535, 360, 82, 71, 0.0504, 275, 193
module, example-app.js, vendor/ember-cli/app-boot.js, 163, 104, 24, 20, 0.0146, 112, 77
module, ember-fetch.js, abortcontroller.js, 4977, 1913, 637, 567, 0.1927, 774, 655
module, ember-fetch.js, fetch.js, 14540, 8015, 2671, 2374, 0.8073, 2687, 2390
module, test-support.js, vendor/ember-cli/test-support-prefix.js, 1, 0, 0, 0, 0, 20, 1
module, test-support.js, vendor/ember/ember-testing.js, 78965, 25365, 6580, 5725, 0.1434, 6822, 6041
module, test-support.js, vendor/monkey-patches.js, 1351, 591, 153, 133, 0.0033, 279, 225
module, test-support.js, vendor/qunit/qunit.js, 190050, 61969, 16075, 13987, 0.3504, 20436, 18318
module, test-support.js, vendor/ember-qunit/qunit-configuration.js, 491, 380, 99, 86, 0.0021, 193, 177
module, test-support.js, vendor/qunit-dom.js, 50149, 15346, 3981, 3464, 0.0868, 3238, 2834
module, test-support.js, vendor/define-dummy-module.js, 54, 46, 12, 10, 0.0003, 66, 50
module, test-support.js, vendor/overwrite-qunit-dom-root-element.js, 181, 150, 39, 34, 0.0008, 146, 111
module, test-support.js, addon-test-support/@ember/test-helpers/-internal/debug-info-helpers.js, 984, 243, 63, 55, 0.0014, 194, 164
module, test-support.js, addon-test-support/@ember/test-helpers/-internal/debug-info.js, 5354, 2433, 631, 549, 0.0138, 872, 754
module, test-support.js, addon-test-support/@ember/test-helpers/-tuple.js, 286, 161, 42, 36, 0.0009, 152, 125
module, test-support.js, addon-test-support/@ember/test-helpers/-utils.js, 5226, 874, 227, 197, 0.0049, 481, 415
module, test-support.js, addon-test-support/@ember/test-helpers/application.js, 1209, 328, 85, 74, 0.0019, 226, 180
module, test-support.js, addon-test-support/@ember/test-helpers/build-owner.js, 1632, 477, 124, 108, 0.0027, 339, 261
