schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, experiment: drop ie11, ember-fetch.js, abortcontroller.js, 4977, 1913, 637, 567, 0.1927, 774, 655
module, experiment: drop ie11, ember-fetch.js, fetch.js, 14540, 8015, 2671, 2374, 0.8073, 2687, 2390
module, experiment: drop ie11, example-app.js, vendor/ember-cli/app-prefix.js, 16, 13, 3, 3, 0.0014, 33, 17
module, experiment: drop ie11, example-app.js, example-app/adapters/-json-api.js, 348, 247, 57, 50, 0.027, 185, 155
module, experiment: drop ie11, example-app.js, example-app/app.js, 3132, 1683, 391, 342, 0.1837, 758, 657
module, experiment: drop ie11, example-app.js, example-app/helpers/app-version.js, 1216, 576, 134, 117, 0.0629, 362, 305
module, experiment: drop ie11, example-app.js, example-app/helpers/pluralize.js, 317, 216, 50, 44, 0.0236, 177, 147
module, experiment: drop ie11, example-app.js, example-app/helpers/singularize.js, 325, 220, 51, 45, 0.024, 179, 149
module, experiment: drop ie11, example-app.js, example-app/initializers/app-version.js, 612, 374, 87, 76, 0.0408, 251, 200
module, experiment: drop ie11, example-app.js, example-app/initializers/container-debug-adapter.js, 650, 458, 106, 93, 0.05, 268, 230
module, experiment: drop ie11, example-app.js, example-app/initializers/ember-data.js, 594, 257, 60, 52, 0.028, 195, 149
module, experiment: drop ie11, example-app.js, example-app/initializers/export-application-global.js, 1445, 720, 167, 146, 0.0786, 405, 316
module, experiment: drop ie11, example-app.js, example-app/instance-initializers/ember-data.js, 402, 260, 60, 53, 0.0284, 196, 149
module, experiment: drop ie11, example-app.js, example-app/resolver.js, 293, 184, 43, 37, 0.0201, 160, 126
module, experiment: drop ie11, example-app.js, example-app/router.js, 2900, 1561, 362, 317, 0.1703, 723, 639
module, experiment: drop ie11, example-app.js, example-app/serializers/-default.js, 343, 248, 58, 50, 0.0271, 185, 155
module, experiment: drop ie11, example-app.js, example-app/serializers/-json-api.js, 354, 253, 59, 51, 0.0276, 187, 163
module, experiment: drop ie11, example-app.js, example-app/serializers/-rest.js, 340, 245, 57, 50, 0.0267, 185, 157
module, experiment: drop ie11, example-app.js, example-app/templates/application.js, 534, 395, 92, 80, 0.0431, 288, 226
module, experiment: drop ie11, example-app.js, example-app/transforms/boolean.js, 360, 259, 60, 53, 0.0283, 203, 165
module, experiment: drop ie11, example-app.js, example-app/transforms/date.js, 354, 253, 59, 51, 0.0276, 199, 161
module, experiment: drop ie11, example-app.js, example-app/transforms/number.js, 358, 257, 60, 52, 0.028, 201, 159
module, experiment: drop ie11, example-app.js, example-app/transforms/string.js, 358, 257, 60, 52, 0.028, 201, 156
module, experiment: drop ie11, example-app.js, vendor/ember-cli/app-suffix.js, 1, 0, 0, 0, 0, 20, 1
module, experiment: drop ie11, example-app.js, vendor/ember-cli/app-config.js, 535, 360, 84, 73, 0.0393, 275, 193
module, experiment: drop ie11, example-app.js, vendor/ember-cli/app-boot.js, 163, 104, 24, 21, 0.0113, 112, 77
module, experiment: drop ie11, ember-testing.js, license.js, 389, 390, 98, 87, 0.0176, 252, 193
module, experiment: drop ie11, ember-testing.js, loader.js, 2424, 1058, 266, 237, 0.0478, 540, 458
module, experiment: drop ie11, ember-testing.js, @ember/debug/index.js, 10935, 1325, 334, 297, 0.0599, 504, 428
module, experiment: drop ie11, ember-testing.js, @ember/debug/lib/capture-render-tree.js, 840, 317, 80, 71, 0.0143, 238, 182
module, experiment: drop ie11, ember-testing.js, @ember/debug/lib/deprecate.js, 7136, 516, 130, 116, 0.0233, 267, 229
module, experiment: drop ie11, ember-testing.js, @ember/debug/lib/handlers.js, 1019, 263, 66, 59, 0.0119, 199, 156
module, experiment: drop ie11, ember-testing.js, @ember/debug/lib/testing.js, 371, 205, 52, 46, 0.0093, 175, 144
module, experiment: drop ie11, ember-testing.js, @ember/debug/lib/warn.js, 4332, 413, 104, 93, 0.0187, 236, 195
module, experiment: drop ie11, ember-testing.js, ember-testing/index.js, 1123, 772, 194, 173, 0.0349, 283, 238
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/adapters/adapter.js, 1452, 298, 75, 67, 0.0135, 230, 180
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/adapters/qunit.js, 1572, 633, 159, 142, 0.0286, 349, 301
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/events.js, 4079, 1714, 431, 384, 0.0775, 785, 681
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/ext/application.js, 6396, 1782, 449, 400, 0.0806, 696, 594
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/ext/rsvp.js, 894, 517, 130, 116, 0.0234, 315, 255
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers.js, 1743, 1280, 322, 287, 0.0579, 343, 307
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/-is-form-control.js, 657, 279, 70, 63, 0.0126, 243, 182
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/and_then.js, 291, 191, 48, 43, 0.0086, 171, 130
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/click.js, 1052, 360, 91, 81, 0.0163, 239, 197
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/current_path.js, 777, 271, 68, 61, 0.0123, 221, 181
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/current_route_name.js, 836, 282, 71, 63, 0.0127, 228, 175
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/current_url.js, 749, 271, 68, 61, 0.0123, 225, 181
