schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-fetch.js, abortcontroller.js, 4977, 1913, 637, 567, 0.1927, 774, 655
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-fetch.js, fetch.js, 14540, 8015, 2671, 2374, 0.8073, 2687, 2390
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, vendor/ember-cli/app-prefix.js, 16, 13, 3, 3, 0.0014, 33, 17
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/adapters/-json-api.js, 343, 242, 57, 50, 0.0268, 183, 159
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/app.js, 3117, 1668, 394, 345, 0.1848, 755, 656
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/helpers/app-version.js, 1206, 566, 134, 117, 0.0627, 359, 313
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/helpers/pluralize.js, 312, 211, 50, 44, 0.0234, 173, 146
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/helpers/singularize.js, 320, 215, 51, 44, 0.0238, 175, 147
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/initializers/app-version.js, 602, 364, 86, 75, 0.0403, 249, 199
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/initializers/container-debug-adapter.js, 645, 453, 107, 94, 0.0502, 266, 202
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/initializers/ember-data.js, 589, 252, 59, 52, 0.0279, 187, 149
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/initializers/export-application-global.js, 1435, 710, 168, 147, 0.0787, 402, 314
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/instance-initializers/ember-data.js, 397, 255, 60, 53, 0.0283, 194, 150
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/resolver.js, 288, 179, 42, 37, 0.0198, 158, 124
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/router.js, 2890, 1551, 366, 320, 0.1719, 720, 640
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/serializers/-default.js, 338, 243, 57, 50, 0.0269, 182, 154
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/serializers/-json-api.js, 349, 248, 59, 51, 0.0275, 185, 159
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/serializers/-rest.js, 335, 240, 57, 50, 0.0266, 182, 156
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/templates/application.js, 554, 411, 97, 85, 0.0455, 305, 248
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/transforms/boolean.js, 355, 254, 60, 52, 0.0281, 200, 161
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/transforms/date.js, 349, 248, 59, 51, 0.0275, 194, 162
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/transforms/number.js, 353, 252, 59, 52, 0.0279, 199, 158
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, my-app/transforms/string.js, 353, 252, 59, 52, 0.0279, 199, 157
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, vendor/ember-cli/app-suffix.js, 1, 0, 0, 0, 0, 20, 1
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, vendor/ember-cli/app-config.js, 525, 350, 83, 72, 0.0388, 272, 203
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, my-app.js, vendor/ember-cli/app-boot.js, 143, 84, 20, 17, 0.0093, 96, 64
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, license.js, 389, 390, 98, 87, 0.0176, 252, 193
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, loader.js, 2424, 1058, 266, 237, 0.0478, 540, 458
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, @ember/debug/index.js, 10935, 1325, 334, 297, 0.0599, 504, 428
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, @ember/debug/lib/capture-render-tree.js, 840, 317, 80, 71, 0.0143, 238, 182
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, @ember/debug/lib/deprecate.js, 7136, 516, 130, 116, 0.0233, 267, 229
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, @ember/debug/lib/handlers.js, 1019, 263, 66, 59, 0.0119, 199, 156
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, @ember/debug/lib/testing.js, 371, 205, 52, 46, 0.0093, 175, 144
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, @ember/debug/lib/warn.js, 4332, 413, 104, 93, 0.0187, 236, 195
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/index.js, 1123, 772, 194, 173, 0.0349, 283, 238
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/adapters/adapter.js, 1452, 298, 75, 67, 0.0135, 230, 180
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/adapters/qunit.js, 1572, 633, 159, 142, 0.0286, 349, 301
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/events.js, 4079, 1714, 431, 384, 0.0775, 785, 681
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/ext/application.js, 6396, 1782, 449, 400, 0.0806, 696, 594
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/ext/rsvp.js, 894, 517, 130, 116, 0.0234, 315, 255
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers.js, 1743, 1280, 322, 287, 0.0579, 343, 307
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/-is-form-control.js, 657, 279, 70, 63, 0.0126, 243, 182
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/and_then.js, 291, 191, 48, 43, 0.0086, 171, 130
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/click.js, 1052, 360, 91, 81, 0.0163, 239, 197
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/current_path.js, 777, 271, 68, 61, 0.0123, 221, 181
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/current_route_name.js, 836, 282, 71, 63, 0.0127, 228, 175
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/current_url.js, 749, 271, 68, 61, 0.0123, 225, 181
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/fill_in.js, 1295, 449, 113, 101, 0.0203, 299, 233
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/find.js, 1411, 295, 74, 66, 0.0133, 227, 175
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/find_with_assert.js, 1245, 268, 67, 60, 0.0121, 222, 199
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/key_event.js, 1208, 278, 70, 62, 0.0126, 230, 185
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/pause_test.js, 1661, 388, 98, 87, 0.0175, 278, 229
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/trigger_event.js, 2115, 435, 110, 98, 0.0197, 297, 244
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/visit.js, 1206, 460, 116, 103, 0.0208, 329, 264
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/wait.js, 2555, 611, 154, 137, 0.0276, 385, 322
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/initializers.js, 506, 279, 70, 63, 0.0126, 190, 163
